"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","testGetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetSkill"
"","1","testGetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetExperience"
"","0","testSetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testSetSkill"
"","0","testSetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetSkill"
"","0","testSetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetAge"
"","0","testGetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testGetSkill"
"","1","testSetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testSetExperience"
"","0","testSetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetExperience"
"","1","testSetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetAge"
"","1","testSetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetExperience"
"","6","testGetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testGetAge"
"","0","testGetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetAge"
"","0","testGetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testGetExperience"
"","0","testGetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testGetExperience"
"","5","testSetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testSetSkill"
"","0","testGetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testGetSkill"
"","2","testSetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testSetSkill"
"","0","testGetSkill","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetSkill"
"","1","testSetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testSetAge"
"","1","testGetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetExperience"
"","1","testSetExperience","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testSetExperience"
"","2","testSetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.AutomatedEngineerTestNgTests","EngineerTests","tests.people.testng.AutomatedEngineerTestNgTests","testSetAge"
"","0","testGetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ManualEngineerTestNgTests","EngineerTests","tests.people.testng.ManualEngineerTestNgTests","testGetAge"
"","8","testGetAge","EngineerTestSuite","2025-12-02","passed","2025-12-02","tests.people.testng.ParameterizedTestNgTests","EngineerTests","tests.people.testng.ParameterizedTestNgTests","testGetAge"
